,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
592,56.31883,57.78225,54.79252,53.86074,57.41639,54.6439,55.84595,56.68468,57.01624,57.0734,58.9084,56.04444,54.83826,58.93698,56.97756,53.70639,55.44992,56.28453,56.32702
593,70.43,70.43,70.43,70.43,70.43,70.43,76.46197,70.43,70.43,70.43,70.43,70.43,70.43,70.43,79.83987,70.43,70.43,70.43,75.49685
594,69.30992,71.09306,66.65987,66.70921,71.05782,67.18142,71.20254,69.32401,69.64117,70.51512,73.2145,69.85966,67.41401,72.77048,77.78296,65.38419,68.11881,69.37335,73.09813
595,64.1116,64.73379,61.57099,61.40248,65.20043,62.10244,65.86632,63.96901,63.96253,64.84397,67.14478,64.50047,62.10892,67.02164,71.83479,60.41734,62.91259,63.89772,67.39329
596,58.21142,58.91135,56.53513,55.95872,58.93487,56.30574,59.60329,58.62902,58.38787,58.57609,60.43471,58.52903,56.61747,60.62293,64.91943,55.37643,57.04096,57.85852,61.03618
597,53.636,53.91228,52.26544,51.69664,54.30232,52.04876,52.82884,54.18856,53.79852,54.00979,55.62413,54.06938,52.22211,55.76498,53.94479,51.14949,52.68257,53.43557,53.31639
598,51.06289,48.60037,49.51677,49.08161,51.19088,49.4195,50.00826,51.21648,51.02706,50.95538,52.266,51.27792,49.61405,52.19944,50.88883,48.52869,49.79323,50.34103,50.28983
599,47.41684,45.0286,46.33951,45.65784,47.54555,45.94862,46.52542,47.80297,47.72193,47.33581,48.46557,47.64566,46.23464,48.3035,47.35487,45.37182,46.43008,46.759,46.91631
600,50.04857,49.59295,48.65695,47.62686,49.04819,47.75067,48.22115,50.27638,49.69695,48.87486,50.04361,49.5979,48.25086,49.61276,49.01352,47.35943,48.25086,48.35486,49.11752
601,48.16175,48.0092,47.07486,46.0118,46.90324,45.5923,46.13098,48.57172,48.02827,46.7364,47.83759,47.89479,46.50281,47.5182,46.83174,45.88309,46.04994,46.26922,46.70779
602,47.76668,47.80457,46.89062,45.79673,46.48337,45.21427,45.67361,48.37282,47.82825,46.3271,47.36417,47.67671,46.28922,47.08951,46.45022,45.71149,45.67834,45.84882,46.48337
