,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
614,23.27699,25.55785,24.79639,16.09218,59.67916,53.7506,56.22684,27.66096,25.73098,59.52677,62.05627,23.31817,16.04249,60.2327,58.07714,28.55452,61.2458,57.77896,56.89878
615,41.57521,33.03779,34.67256,27.58035,57.83845,58.99674,59.49231,34.40845,33.64457,57.83836,60.23349,33.03779,27.58035,60.22878,60.92979,29.5515,62.82652,59.26412,59.74715
616,53.05945,57.63371,52.69479,50.34471,61.98194,66.11722,70.19968,54.78598,55.68131,61.68996,68.18753,54.64067,50.64885,67.83341,73.12918,52.44711,77.96029,66.28491,71.82313
617,77.7113,82.60738,75.09689,70.85461,78.74122,81.56708,81.90177,77.14089,79.06604,78.40848,85.22868,78.66992,72.44702,84.48877,89.06081,75.14443,94.75109,82.31802,87.63776
618,86.87363,85.58134,83.67367,84.68579,87.30439,87.21169,85.84952,85.97693,87.40988,86.98791,91.93357,88.11317,83.93855,90.87243,92.51104,83.62092,96.39715,88.54279,92.16357
619,83.25596,82.14248,79.77953,82.23598,84.89643,82.43148,79.97502,81.92999,83.68096,84.53094,87.42939,84.98143,83.04347,86.13741,85.63592,80.06002,88.77236,83.94445,85.83142
620,82.80101,78.52354,75.88801,79.47113,83.47793,81.16198,78.86588,77.99866,79.80087,83.1816,85.96384,81.47864,80.27782,84.31851,84.37322,74.76659,88.5921,82.53082,84.15146
621,80.467,81.27606,74.67062,79.11876,82.48944,80.26281,78.95991,77.37457,78.24356,82.16523,84.58869,79.34326,79.54834,83.06172,83.8132,73.56658,87.17716,81.44994,83.26869
622,76.44149,76.91579,70.90838,74.78593,77.93049,76.3566,75.28329,73.31332,74.6064,77.66142,79.71404,75.78592,75.58545,78.36851,79.49144,69.64467,81.54475,77.128,78.46927
623,65.79861,65.62622,61.63686,66.49063,69.86002,68.57439,68.13589,63.2945,64.34924,69.66364,71.28886,65.23346,67.23553,70.08471,71.12389,61.20779,73.27919,69.14056,70.52754
624,65.50529,65.5503,62.34084,65.92735,66.09373,65.15049,65.93403,63.93967,64.4052,65.95424,67.85685,64.89268,66.76432,66.11366,67.9047,61.58101,69.66484,65.56233,68.30895
625,61.01654,61.00093,57.86159,62.05709,61.77764,60.97066,61.89227,59.23111,59.66479,61.64728,63.53173,60.11945,62.9696,61.88938,63.61513,57.17104,65.08584,61.29345,63.7787
626,59.31235,60.35969,56.72287,61.374,61.10631,60.16509,61.09094,58.20402,58.39973,60.97796,62.25534,58.95396,62.11964,61.21633,62.71825,56.11767,64.22929,60.5318,62.6574
627,58.89947,59.98631,56.29317,62.35492,61.21824,60.37711,61.62273,58.00309,57.94789,61.09545,62.39091,58.46064,63.3434,61.41471,63.28316,55.70675,65.03867,60.77005,63.26492
628,60.54725,61.37048,57.8547,63.42915,62.26822,61.40974,62.48405,59.37956,59.58027,62.14916,63.45255,60.20494,64.28137,62.26822,64.19398,57.19654,65.67618,61.77318,64.38235
629,69.37696,70.21203,65.58082,70.25042,69.99604,69.08004,69.89771,67.31683,67.88148,69.84102,71.48981,68.88737,71.24392,70.03127,71.74699,64.69205,73.502,69.44644,72.01666
630,79.55796,74.04112,75.39455,79.36286,80.0006,78.72578,77.99617,77.54842,78.00765,79.79214,81.90079,78.77156,80.22877,80.10483,80.34536,74.3821,83.01618,79.28702,81.25136
631,74.66485,75.00676,70.25488,72.17526,82.0226,80.27768,82.02841,72.68301,72.86556,81.72806,84.19601,73.05625,73.09072,82.31663,85.0376,68.85418,88.4208,80.90674,84.83833
632,53.45047,51.21872,48.93022,53.24457,66.06595,64.85763,64.88195,50.97471,51.25758,65.83924,67.93453,49.95503,54.53854,66.77541,66.8853,47.00793,69.63297,65.3258,66.32244
633,40.25588,35.999,40.79417,31.8292,63.44013,63.46783,64.00613,40.52502,39.98673,63.27587,64.7542,35.999,31.8292,64.76805,64.60379,41.33247,66.0089,64.17039,63.73698
634,34.14136,30.667,31.83826,22.71888,59.34315,59.92846,61.14091,33.24621,33.41294,61.41925,64.84872,28.29506,23.35309,63.31636,61.08549,30.269,63.75011,61.3435,60.03863
635,33.65064,29.24931,33.95128,22.86044,62.98169,57.78592,58.53953,33.65064,33.04936,62.90015,62.70971,29.24931,22.86044,61.52781,59.29313,34.55256,60.49969,60.3244,58.23889
636,35.72426,32.37949,36.29509,26.52459,63.02476,57.6592,58.34853,36.00967,35.43885,63.01987,62.61635,32.37949,26.52459,61.03731,58.75244,42.28877,60.1311,60.20542,57.94461
637,40.37786,38.32089,37.46011,32.41941,60.38518,57.30632,58.71957,38.93276,39.80245,61.13541,63.05531,35.83659,32.42859,61.03826,59.71494,39.61559,62.23697,59.47984,59.42076
638,40.66759,36.5721,40.82067,31.28206,61.4183,59.00703,57.09131,40.66759,40.36145,61.46,61.52768,36.41902,31.28206,60.68222,58.52161,44.03522,59.16265,59.89625,57.69876
639,49.83971,49.4674,49.96381,45.70668,60.79768,60.79651,61.00322,49.83971,49.5915,60.63247,61.25182,49.34329,45.70668,61.41664,61.33403,52.57,61.87155,61.00322,60.87911
640,61.15555,61.08151,61.18024,59.17132,62.95639,64.75644,65.65394,61.18024,61.13087,62.95077,64.50186,61.08151,59.17132,64.64599,66.47275,61.72324,67.49048,64.61569,66.02071
